Age,Gender,Job_Stf,Imp_Job_Char,Longevity,Long_Buck,Promotion_Atb,DecisionMaking_Atb,BudgetoryDec_Atb,Proud_Atb,AnotherJob_Atb,RelCoworkers_Atb
35,Male,Moderately Satisfied,Opportunities for Advancement,3,1,Very Likely,Much of the Time,Yes,Somewhat Proud,Very Unlikely,Good
33,Male,Moderately Satisfied,Flexible Hours,9,2,Very Unlikely,Much of the Time,Yes,Somewhat Proud,Likely,Very Good
23,Male,Very Satisfied,High Income,1.5,1,Very Likely,Much of the Time,No,Very Proud,Very Unlikely,Good
60,Male,Very Satisfied,High Income,20,4,Not Sure,Much of the Time,No,Very Proud,Very Likely,Very Good
35,Male,Moderately Satisfied,High Income,3,1,Not Sure,Much of the Time,Yes,Somewhat Proud,Unlikely,Good
34,Female,Moderately Satisfied,High Income,6,2,Very Likely,Much of the Time,No,Somewhat Proud,Unlikely,Bad
61,Female,Very Satisfied,High Income,0.75,1,Very Unlikely,Sometimes,No,Somewhat Proud,Unlikely,Very Good
59,Male,Moderately Satisfied,Enjoying the Work,1.5,1,Likely,Always,No,Somewhat Proud,Unlikely,Very Good
37,Female,Very Satisfied,Enjoying the Work,3,1,Unlikely,Sometimes,Yes,Somewhat Proud,Likely,So So
30,Male,Very Satisfied,Enjoying the Work,5,2,Likely,Much of the Time,Yes,Very Proud,Likely,Good
34,Female,Very Satisfied,Flexible Hours,3,1,Unlikely,Much of the Time,Yes,Very Proud,Unlikely,Good
34,Female,Moderately Satisfied,Flexible Hours,8,2,Likely,Much of the Time,Yes,Somewhat Proud,Likely,Good
27,Female,Moderately Satisfied,Enjoying the Work,7,2,Likely,Sometimes,No,Somewhat Proud,Unlikely,Good
38,Male,Very Satisfied,Opportunities for Advancement,15,4,Very Likely,Much of the Time,Yes,Somewhat Proud,Likely,Very Good
41,Male,A Little Dissatisfied,High Income,1,1,Unlikely,Much of the Time,No,Not At All Proud,Very Unlikely,So So
58,Male,Moderately Satisfied,Opportunities for Advancement,36,4,Very Unlikely,Much of the Time,Yes,Somewhat Proud,Very Unlikely,Good
34,Female,Moderately Satisfied,High Income,1.5,1,Likely,Sometimes,No,Somewhat Proud,Likely,Good
48,Female,Moderately Satisfied,Enjoying the Work,6,2,Unlikely,Much of the Time,No,Somewhat Proud,Unlikely,Good
26,Female,Very Satisfied,Opportunities for Advancement,3.5,1,Not Sure,Much of the Time,Yes,Very Proud,Likely,Very Good
39,Male,Very Satisfied,Enjoying the Work,3,1,Very Unlikely,Sometimes,Yes,Very Proud,Very Likely,Very Good
29,Female,Very Satisfied,Enjoying the Work,16,4,Very Likely,Always,Yes,Somewhat Proud,Likely,So So
36,Male,Very Dissatisfied,Enjoying the Work,4.08,1,Unlikely,Much of the Time,No,Indifferent,Unlikely,So So
25,Male,Very Satisfied,Opportunities for Advancement,2,1,Very Likely,Sometimes,No,Somewhat Proud,Unlikely,Good
39,Female,Moderately Satisfied,Enjoying the Work,2,1,Very Likely,Much of the Time,No,Somewhat Proud,Unlikely,So So
40,Male,Moderately Satisfied,High Income,11.83,3,Very Likely,Much of the Time,Yes,Somewhat Proud,Unlikely,Good
53,Male,Moderately Satisfied,High Income,10,3,Likely,Much of the Time,Yes,Somewhat Proud,Unlikely,Very Good
39,Female,Very Satisfied,Enjoying the Work,1,1,Very Unlikely,Sometimes,Yes,Very Proud,Very Likely,Very Good
27,Female,Very Dissatisfied,No Danger of Being Fired,2,1,Very Unlikely,Always,No,Somewhat Proud,Unlikely,So So
35,Male,Very Satisfied,High Income,10,3,Very Unlikely,Always,No,Somewhat Proud,Unlikely,So So
25,Male,Very Satisfied,Enjoying the Work,2.5,1,Very Unlikely,Much of the Time,Yes,Very Proud,Likely,Very Good
29,Male,Moderately Satisfied,Enjoying the Work,1,1,Very Likely,Always,Yes,Indifferent,Unlikely,Good
23,Female,Very Satisfied,No Danger of Being Fired,0.75,1,Very Likely,Sometimes,Yes,Very Proud,Very Likely,Very Good
40,Male,Very Satisfied,Enjoying the Work,4.33,1,Very Likely,Sometimes,Yes,Indifferent,Unlikely,Good
36,Female,A Little Dissatisfied,High Income,10,3,Likely,Much of the Time,No,Somewhat Proud,Not Sure,Very Good
64,Female,Very Satisfied,Opportunities for Advancement,7,2,Very Unlikely,Much of the Time,Yes,Very Proud,Very Likely,Good
43,Female,Very Satisfied,Enjoying the Work,18,4,Very Unlikely,Much of the Time,Yes,Somewhat Proud,Likely,Very Good
28,Female,Moderately Satisfied,Enjoying the Work,0.16,1,Likely,Sometimes,No,Somewhat Proud,Very Unlikely,Good
48,Female,Very Satisfied,Enjoying the Work,1.66,1,Very Unlikely,Sometimes,No,Very Proud,Likely,So So
52,Male,A Little Dissatisfied,Enjoying the Work,0.08,1,Very Unlikely,Sometimes,No,Somewhat Proud,Unlikely,Very Good
32,Male,Moderately Satisfied,High Income,3,1,Likely,Always,No,Somewhat Proud,Likely,Good
23,Male,Moderately Satisfied,High Income,1,1,Very Likely,Much of the Time,No,Indifferent,Unlikely,Very Good
44,Female,Very Satisfied,High Income,5,2,Likely,Much of the Time,No,Somewhat Proud,Unlikely,Very Good
36,Female,Very Dissatisfied,High Income,9.5,2,Unlikely,Sometimes,Yes,Indifferent,Very Unlikely,Bad
33,Female,Moderately Satisfied,Flexible Hours,3.75,1,Likely,Much of the Time,No,Somewhat Proud,Unlikely,Good
52,Male,Very Satisfied,Enjoying the Work,1,1,Very Unlikely,Always,Yes,Somewhat Proud,Likely,Very Good
38,Male,Very Satisfied,Enjoying the Work,2.66,1,Very Unlikely,Sometimes,Yes,Very Proud,Very Likely,Very Good
34,Male,Very Satisfied,Enjoying the Work,5.5,2,Unlikely,Much of the Time,Yes,Very Proud,Very Likely,Good
62,Male,Very Satisfied,High Income,52.25,4,Unlikely,Much of the Time,Yes,Somewhat Proud,Likely,Very Good
36,Female,Very Dissatisfied,Enjoying the Work,1,1,Very Likely,Sometimes,No,Somewhat Proud,Very Unlikely,Good
37,Male,Moderately Satisfied,Enjoying the Work,19,4,Very Likely,Much of the Time,Yes,Indifferent,Unlikely,Good
39,Female,Moderately Satisfied,Enjoying the Work,10,3,Unlikely,Much of the Time,Yes,Very Proud,Unlikely,Good
61,Female,Very Satisfied,Enjoying the Work,13,3,Unlikely,Much of the Time,No,Very Proud,Very Likely,Good
20,Male,Moderately Satisfied,Opportunities for Advancement,3,1,Likely,Sometimes,Yes,Indifferent,Likely,Very Good
22,Male,Moderately Satisfied,Enjoying the Work,1,1,Not Sure,Sometimes,Yes,Somewhat Proud,Very Unlikely,Good
36,Male,Very Satisfied,Enjoying the Work,7,2,Likely,Much of the Time,Yes,Somewhat Proud,Unlikely,Very Good
48,Female,Very Satisfied,Opportunities for Advancement,4,1,Very Likely,Sometimes,No,Very Proud,Unlikely,Very Good
58,Female,Very Satisfied,Opportunities for Advancement,12,3,Unlikely,Sometimes,No,Somewhat Proud,Unlikely,Good
50,Male,A Little Dissatisfied,Enjoying the Work,22.5,4,Unlikely,Sometimes,No,Somewhat Proud,Unlikely,Good
24,Male,Moderately Satisfied,Enjoying the Work,1,1,Likely,Much of the Time,No,Somewhat Proud,Unlikely,Very Good
44,Female,Very Satisfied,High Income,10,3,Unlikely,Always,No,Very Proud,Very Likely,Very Good
30,Female,Very Dissatisfied,Enjoying the Work,2,1,Unlikely,Sometimes,No,Somewhat Proud,Unlikely,Good
32,Male,Moderately Satisfied,Enjoying the Work,7,2,Likely,Sometimes,No,Somewhat Proud,Likely,Very Good
32,Male,Moderately Satisfied,High Income,12,3,Very Unlikely,Much of the Time,Yes,Very Proud,Likely,So So
44,Male,Very Satisfied,Opportunities for Advancement,22,4,Likely,Much of the Time,Yes,Somewhat Proud,Unlikely,Very Good
34,Male,Very Satisfied,Enjoying the Work,4,1,Likely,Much of the Time,Yes,Somewhat Proud,Likely,Very Good
42,Female,Moderately Satisfied,Enjoying the Work,22,4,Likely,Much of the Time,Yes,Somewhat Proud,Unlikely,Good
40,Male,Very Satisfied,Enjoying the Work,2,1,Likely,Always,Yes,Very Proud,Very Likely,Good
37,Male,Very Satisfied,Enjoying the Work,5,2,Very Likely,Always,No,Somewhat Proud,Unlikely,Very Good
32,Female,Moderately Satisfied,Enjoying the Work,11,3,Unlikely,Never,Yes,Somewhat Proud,Very Unlikely,Good
31,Female,Very Satisfied,High Income,10,3,Very Likely,Much of the Time,Yes,Somewhat Proud,Likely,So So
44,Male,Very Satisfied,Opportunities for Advancement,0.66,1,Very Unlikely,Sometimes,Yes,Very Proud,Very Unlikely,Very Good
39,Male,Very Satisfied,Enjoying the Work,11,3,Unlikely,Much of the Time,Yes,Very Proud,Likely,Very Good
30,Male,Moderately Satisfied,High Income,11,3,Very Unlikely,Much of the Time,No,Somewhat Proud,Unlikely,Very Good
41,Male,Moderately Satisfied,Opportunities for Advancement,12,3,Not Sure,Sometimes,No,Somewhat Proud,Unlikely,Very Good
39,Male,A Little Dissatisfied,Opportunities for Advancement,9,2,Unlikely,Sometimes,No,Somewhat Proud,Very Unlikely,Very Good
33,Male,Moderately Satisfied,Enjoying the Work,10,3,Very Unlikely,Always,Yes,Very Proud,Unlikely,Very Good
25,Male,Moderately Satisfied,Opportunities for Advancement,3,1,Very Unlikely,Always,Yes,Somewhat Proud,Very Unlikely,Good
31,Female,Very Satisfied,Enjoying the Work,5.5,2,Very Unlikely,Sometimes,No,Somewhat Proud,Unlikely,Very Good
41,Female,Very Satisfied,Enjoying the Work,2.33,1,Likely,Much of the Time,No,Very Proud,Unlikely,So So
42,Male,Very Satisfied,No Danger of Being Fired,5,2,Unlikely,Sometimes,Yes,Somewhat Proud,Very Unlikely,Good
33,Female,Moderately Satisfied,Enjoying the Work,1,1,Unlikely,Sometimes,No,Somewhat Proud,Very Unlikely,So So
36,Female,Very Satisfied,Enjoying the Work,6,2,Very Unlikely,Much of the Time,Yes,Very Proud,Likely,Very Good
39,Male,Moderately Satisfied,Opportunities for Advancement,16,4,Likely,Much of the Time,No,Somewhat Proud,Unlikely,Good
39,Male,Very Satisfied,High Income,3.25,1,Very Unlikely,Sometimes,Yes,Very Proud,Very Likely,Very Good
62,Male,Very Satisfied,No Danger of Being Fired,27,4,Very Unlikely,Much of the Time,Yes,Somewhat Proud,Likely,Very Good
62,Male,Very Satisfied,High Income,1.91,1,Likely,Always,No,Somewhat Proud,Unlikely,So So
34,Male,Very Satisfied,Opportunities for Advancement,2.08,1,Likely,Sometimes,Yes,Very Proud,Unlikely,Very Good
52,Male,Very Satisfied,No Danger of Being Fired,31.91,4,Likely,Never,Yes,Very Proud,Likely,Good
40,Male,A Little Dissatisfied,Enjoying the Work,6,2,Very Unlikely,Sometimes,No,Somewhat Proud,Unlikely,So So
43,Female,Moderately Satisfied,Enjoying the Work,14,3,Very Unlikely,Much of the Time,Yes,Somewhat Proud,Unlikely,Very Good
41,Female,Moderately Satisfied,Enjoying the Work,4,1,Unlikely,Sometimes,Yes,Somewhat Proud,Unlikely,Good
64,Male,Very Satisfied,Enjoying the Work,29,4,Very Unlikely,Much of the Time,No,Somewhat Proud,Unlikely,Good
26,Male,Very Satisfied,Opportunities for Advancement,1.5,1,Very Likely,Always,No,Somewhat Proud,Unlikely,Good
45,Male,Moderately Satisfied,Enjoying the Work,0.58,1,Unlikely,Much of the Time,Yes,Somewhat Proud,Unlikely,So So
33,Male,Moderately Satisfied,High Income,7,2,Unlikely,Sometimes,Yes,Somewhat Proud,Unlikely,Very Good
36,Male,Very Satisfied,Flexible Hours,5,2,Very Unlikely,Sometimes,No,Somewhat Proud,Unlikely,Very Good
45,Female,Moderately Satisfied,Enjoying the Work,21,4,Likely,Much of the Time,Yes,Somewhat Proud,Unlikely,So So
51,Female,Very Satisfied,Enjoying the Work,24,4,Likely,Much of the Time,No,Somewhat Proud,Likely,Good
38,Female,Very Satisfied,High Income,6,2,Very Likely,Much of the Time,No,Somewhat Proud,Likely,Good
57,Male,Very Satisfied,High Income,34,4,Very Unlikely,Much of the Time,Yes,Very Proud,Likely,Good
45,Female,Very Satisfied,Enjoying the Work,4,1,Likely,Always,Yes,Very Proud,Very Likely,Very Good
43,Male,Very Satisfied,Enjoying the Work,26,4,Very Unlikely,Sometimes,Yes,Very Proud,Unlikely,Good
37,Male,Very Satisfied,Enjoying the Work,5,2,Unlikely,Much of the Time,Yes,Somewhat Proud,Unlikely,Good
33,Female,Very Satisfied,High Income,1,1,Unlikely,Sometimes,No,Very Proud,Very Likely,Very Good
51,Female,Moderately Satisfied,Enjoying the Work,23,4,Very Unlikely,Sometimes,Yes,Somewhat Proud,Unlikely,Very Good
43,Female,Very Dissatisfied,Enjoying the Work,3,1,Unlikely,Sometimes,No,Indifferent,Very Unlikely,So So
42,Female,Very Satisfied,Enjoying the Work,6,2,Unlikely,Sometimes,No,Somewhat Proud,Unlikely,Good
25,Male,Very Satisfied,Enjoying the Work,2.5,1,Very Unlikely,Sometimes,Yes,Very Proud,Very Likely,Good
40,Male,Very Satisfied,Enjoying the Work,11.25,3,Not Sure,Sometimes,Yes,Somewhat Proud,Likely,Good
57,Female,Moderately Satisfied,Enjoying the Work,29.25,4,Very Unlikely,Sometimes,No,Very Proud,Very Unlikely,So So
38,Male,Very Satisfied,Enjoying the Work,2,1,Very Unlikely,Sometimes,Yes,Very Proud,Very Likely,Very Good
41,Female,Very Dissatisfied,Enjoying the Work,11,3,Very Unlikely,Always,No,Indifferent,Unlikely,So So
32,Male,Very Satisfied,No Danger of Being Fired,1.5,1,Unlikely,Much of the Time,No,Somewhat Proud,Unlikely,Good
39,Male,Very Satisfied,Enjoying the Work,9,2,Very Unlikely,Much of the Time,Yes,Very Proud,Likely,Good
43,Male,Moderately Satisfied,Flexible Hours,5,2,Unlikely,Much of the Time,Yes,Somewhat Proud,Unlikely,Very Good
50,Female,Very Satisfied,Enjoying the Work,1,1,Very Unlikely,Sometimes,Yes,Somewhat Proud,Very Unlikely,Bad
49,Male,Moderately Satisfied,Opportunities for Advancement,1.5,1,Very Unlikely,Never,Yes,Very Proud,Very Likely,Very Good
35,Female,Moderately Satisfied,No Danger of Being Fired,10,3,Unlikely,Sometimes,No,Somewhat Proud,Very Unlikely,Very Good
22,Male,Very Satisfied,Enjoying the Work,1,1,Very Likely,Always,No,Somewhat Proud,Unlikely,Very Good
33,Female,Very Satisfied,Enjoying the Work,11,3,Very Unlikely,Much of the Time,Yes,Somewhat Proud,Likely,Very Good
29,Female,Very Satisfied,Enjoying the Work,2,1,Likely,Much of the Time,Yes,Very Proud,Likely,Good
22,Male,Moderately Satisfied,No Danger of Being Fired,1.25,1,Very Likely,Much of the Time,No,Somewhat Proud,Unlikely,Good